S/N,State,GDP
1,Lagos,N41.17trn
2,Rivers,N7.96trn
3,Akwa Ibom,N7.77trn
4,Imo,N7.68trn
5,Delta,N6.19trn
6,Anambra,N5.14trn
7,Ondo,N5.10trn
8,Ogun,N5.03trn
9,Bayelsa,N4.63trn
10,Niger,N4.58trn
11,Kaduna,N4.31trn
12,Benue,N4.27trn
13,Kano,N4.20trn
14,Cross River,N4.07trn
15,Edo,N3.99trn
16,Kogi,N3.69trn
17,Oyo,N3.65trn
18,Abia,N3.53trn
19,Katsina,N3.32trn
20,Sokoto,N2.85trn
21,Adamawa,N2.66trn
22,Bauchi,N2.63trn
23,Ekiti,N2.35trn
24,Osun,N2.30trn
25,Ebonyi,N2.24trn
26,Jigawa,N2.16trn
27,Gombe,N2.10trn
28,Taraba,N2.04trn
29,Borno,N1.96trn
30,Nasarawa,N1.86trn
31,Kebbi,N1.80trn
32,Zamfara,N1.73trn
33,Plateau,N1.50trn
34,Enugu,N1.45trn
35,Kwara,N1.38trn
36,Yobe,N1.09trn